committee_name,report_year,payee_name,payee_state,expenditure_description,expenditure_date,expenditure_amount,support_oppose_indicator,candidate_name,candidate_office,candidate_party
BIENVENIDO ACTION PAC,2022,TEXTGOP LLC,KS,DIGITAL VOTER CONTACT,2022-06-10T00:00:00Z,3582.53,S,"FLORES, MAYRA",H,REP
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-27T00:00:00Z,12179.58,S,"CISNEROS, JESSICA",H,DEM
WFP NATIONAL PAC,2022,ROBOCALL.ORG,VA,ROBOCALL,2022-05-24T00:00:00Z,41.27,S,"CISNEROS, JESSICA",H,DEM
JUSTICE DEMOCRATS PAC,2022,THE BASELINE AGENCY,DC,NON-CONTRIBUTION ACCOUNT - DIRECT MAIL SERVICE,2022-05-09T00:00:00Z,10769.35,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,CONSOLIDATED PRESS,NC,NON-CONTRIBUTION ACCOUNT: GOTV LITERATURE,2022-02-22T00:00:00Z,246.56,S,"CISNEROS, JESSICA",H,DEM
SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),2022,TEXAS TOOLBELT,TX,ESTIMATED COST - CANVASS LITERATURE,2022-02-16T00:00:00Z,25000,S,"CISNEROS, JESSICA",H,DEM
AMERICA UNITED,2022,MOSAIC MEDIA STRATEGY GROUP,DC,DIGITAL AD PRODUCTION,2022-04-29T00:00:00Z,500,S,"CUELLAR, HENRY",H,DEM
MIJENTE PAC,2022,AMERICAN AIRLINES,TX,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-22T00:00:00Z,636.2,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,"BATISTA, CRISTINA",DC,NON-CONTRIBUTION ACCOUNT: PER DIEM,2022-02-25T00:00:00Z,166.23,S,"CISNEROS, JESSICA",H,DEM
"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,TARGETED VICTORY LLC,VA,MEDIA PRODUCTION,2022-08-15T00:00:00Z,1000,S,"DE LA CRUZ, MONICA",H,REP
WFP NATIONAL PAC,2022,COMMUNITY LABOR ADMINISTRATIVE SERVICES,NY,TEXTING SERVICES,2022-02-07T00:00:00Z,38.04,S,"CISNEROS, JESSICA",H,DEM
AFL-CIO COMMITTEE ON POLITICAL EDUCATION TREASURY FUND,2022,MIDDLE SEAT,DC,NA,2022-05-08T00:00:00Z,306.53,S,"CISNEROS, JESSICA",H,DEM
WOMEN VOTE!,2022,THE PIVOT GROUP,DC,MAIHOUSE,2022-05-05T00:00:00Z,2758.27,O,"CUELLAR, HENRY",H,DEM
"NARAL FREEDOM FUND",2022,76 WORDS,DC,DIGITAL ADVERTISING,2022-02-23T00:00:00Z,45000,S,"CISNEROS, JESSICA",H,DEM
TEXANS FOR FREEDOM,2022,MADISON MCQUEEN LLC,CA,DIGITAL MEDIA PRODUCTION,2022-02-25T00:00:00Z,5900,S,"GARCIA, CASSY",H,REP
MIJENTE PAC,2022,"RADIO UNITED, LTD",TX,NON-CONTRIBUTION ACCOUNT: ADVERTISEMENT - RADIO,2022-02-22T00:00:00Z,1011.5,S,"CISNEROS, JESSICA",H,DEM
"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,PEOPLE WHO THINK,LA,DOORHANGER PRODUCTION,2022-06-07T00:00:00Z,1926.45,S,"FLORES, MAYRA",H,REP
"GREENPEACE, INC.",2022,REWIRED LLC,NY,NA,2022-04-23T00:00:00Z,700,S,"CISNEROS, JESSICA",H,DEM
MAINSTREAM DEMOCRATS PAC,2022,"SISNEROS STRATEGIES, LLC",VA,DIRECT MAIL ADVERTISING,2022-05-02T00:00:00Z,177766.08,S,"CUELLAR, HENRY",H,DEM
"GREENPEACE, INC.",2022,"GREENPEACE, INC.",DC,NA,2022-04-01T00:00:00Z,398.37,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-19T00:00:00Z,8006.49,S,"CISNEROS, JESSICA",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,MVAR MEDIA LLC,VA,MEDIA PRODUCTION,2022-05-20T00:00:00Z,745,O,"CISNEROS, JESSICA",H,NA
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-07T00:00:00Z,997.11,S,"CISNEROS, JESSICA",H,DEM
"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,TARGETED VICTORY LLC,VA,LIBRE DIGITAL AD PRODUCTION,2022-07-13T00:00:00Z,700,S,"FLORES, MAYRA",H,REP
"GREENPEACE, INC.",2022,ARIZONA JET-MAIL SERVICES,AZ,NA,2022-04-22T00:00:00Z,283.07,S,"CISNEROS, JESSICA",H,DEM
CONGRESSIONAL LEADERSHIP FUND,2022,RED EAGLE MEDIA,VA,DIGITAL PLACEMENT,2022-05-26T00:00:00Z,14100,S,"FLORES, MAYRA",H,NA
TEXAS ORGANIZING PROJECT POLITICAL ACTION COMMITTEE,2022,MINUTEMAN PRESS,TX,LITERATURE,2022-02-17T00:00:00Z,262.51,S,"CISNEROS, JESSICA",H,DEM
WFP NATIONAL PAC,2022,76 WORDS,DC,DIGITAL ADS,2022-05-02T00:00:00Z,40000,S,"CISNEROS, JESSICA",H,DEM
CONGRESSIONAL LEADERSHIP FUND,2022,TARGETED VICTORY LLC,VA,DIGITAL PLACEMENT,2022-08-05T00:00:00Z,100000,S,"GARCIA, CASSY",H,NA
AFL-CIO COMMITTEE ON POLITICAL EDUCATION TREASURY FUND,2022,MIDDLE SEAT,DC,NA,2022-05-06T00:00:00Z,128.5,S,"CISNEROS, JESSICA",H,DEM
JUSTICE DEMOCRATS PAC,2022,TOP MARKS MEDIA LLC,DC,"NON-CONTRIBUTION ACCOUNT - MEDIA BUY, TV/DIGITAL",2022-02-09T00:00:00Z,78000,O,"CUELLAR, HENRY",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,OURSO BEYCHOK INC,LA,DIRECT MAIL,2022-05-11T00:00:00Z,14330,S,"CUELLAR, HENRY",H,DEM
WFP NATIONAL PAC,2022,WOMEN VOTE!,DC,CONTRIBUTION,2022-05-23T00:00:00Z,50000,O,"CUELLAR, HENRY",H,DEM
MIJENTE PAC,2022,PROTRAVEL INTERNATIONAL,AZ,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-22T00:00:00Z,37,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,PROTRAVEL INTERNATIONAL,AZ,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-24T00:00:00Z,37,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,LYFT,CA,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-11T00:00:00Z,16.79,S,"CISNEROS, JESSICA",H,DEM
"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,TALENTWAVE INC.,CO,CANVASSING,2022-06-01T00:00:00Z,2000,S,"FLORES, MAYRA",H,REP
UNITED DEMOCRACY PROJECT (UDP),2022,MVAR MEDIA LLC,VA,MEDIA PRODUCTION,2022-04-28T00:00:00Z,24380.58,O,"CISNEROS, JESSICA",H,NA
JUSTICE DEMOCRATS PAC,2022,THE BASELINE AGENCY,DC,NON-CONTRIBUTION ACCOUNT - DIRECT MAIL SERVICE,2022-05-10T00:00:00Z,20648.5,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-25T00:00:00Z,2993.9,S,"CISNEROS, JESSICA",H,DEM
"NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE",2022,"NATIONAL ASSOCIATION OF REALTORS",IL,ADMINISTRATIVE CONSULTING,2022-05-03T00:00:00Z,2160,S,"CUELLAR, HENRY",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-25T00:00:00Z,6726.91,S,"CISNEROS, JESSICA",H,DEM
"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,TARGETED VICTORY LLC,VA,DIGITAL AD PRODUCTION,2022-07-13T00:00:00Z,700,S,"FLORES, MAYRA",H,REP
JUSTICE DEMOCRATS PAC,2022,TOP MARKS MEDIA LLC,DC,NON-CONTRIBUTION ACCOUNT - DIGITAL BUY,2022-05-11T00:00:00Z,50000,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-24T00:00:00Z,6726.89,S,"CISNEROS, JESSICA",H,DEM
IN UNION USA,2022,"DELIVER STRATEGIES, LLC",VA,DIRECT MAIL PROGRAM,2022-02-17T00:00:00Z,13638.07,O,"CUELLAR, HENRY",H,DEM
WFP NATIONAL PAC,2021,COMMUNITY LABOR ADMINISTRATIVE SERVICES,NY,TEXTING,2021-12-14T00:00:00Z,1332.24,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,UNITED AIRLINES,IL,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-25T00:00:00Z,933.34,S,"CISNEROS, JESSICA",H,DEM
TEXAS ORGANIZING PROJECT POLITICAL ACTION COMMITTEE,2022,DUABLE BRAND TRUST,TX,GRAPHIC DESIGN (ESTIMATE),2022-04-11T00:00:00Z,93.02,S,"CISNEROS, JESSICA",H,DEM
CONGRESSIONAL LEADERSHIP FUND,2022,TARGETED VICTORY LLC,VA,DIGITAL PLACEMENT,2022-05-13T00:00:00Z,25000,S,"GARCIA, CASSY",H,NA
TEXAS ORGANIZING PROJECT POLITICAL ACTION COMMITTEE,2022,TEXAS ORGANIZING PROJECT,TX,STAFF TIME (ESTIMATE),2022-02-01T00:00:00Z,7000,S,"CISNEROS, JESSICA",H,DEM
WOMEN VOTE!,2022,THE PIVOT GROUP,DC,MAIHOUSE,2022-05-12T00:00:00Z,9452.56,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,STRIPES,TX,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-25T00:00:00Z,24.64,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,ESTIMATED EXPENSES FOR PHONE BANKING,2022-01-30T00:00:00Z,2916.88,S,"CISNEROS, JESSICA",H,DEM
VOTE NURSES VALUES POLITICAL ACTION COMMITTEE: CALIFORNIA NURSES ASSOCIATION,2022,TOSKR INC DBA: GETTHRU,CA,ESTIMATE OF TEXT AND PHONE BANKING CAMPAIGN,2022-04-04T00:00:00Z,19305,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,LYFT,CA,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-25T00:00:00Z,10.78,S,"CISNEROS, JESSICA",H,DEM
TEXAS ORGANIZING PROJECT POLITICAL ACTION COMMITTEE,2022,"TEXAS TOOLBELT, LLC",TX,CANVASSING (ESTIMATE),2022-04-19T00:00:00Z,38255.81,S,"CISNEROS, JESSICA",H,DEM
DMFI PAC,2022,MEDIA FORTITUDE PARTNERS,NJ,T.V. ADVERTISING BUY,2022-05-03T00:00:00Z,285000,S,"RAMIREZ, RUBEN",H,DEM
WFP NATIONAL PAC,2022,ANGLE MASTAGNI,TX,PHONE CALLS,2022-05-17T00:00:00Z,10000,S,"VALLEJO, MICHELLE",H,DEM
MIJENTE PAC,2022,PROTRAVEL INTERNATIONAL,AZ,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-25T00:00:00Z,37,S,"CISNEROS, JESSICA",H,DEM
WOMEN VOTE!,2022,THE PIVOT GROUP,DC,MAIHOUSE,2022-05-12T00:00:00Z,9452.56,O,"CUELLAR, HENRY",H,DEM
TEXAS FARM BUREAU AGFUND,2022,THE EPPSTEIN GROUP,TX,DIRECT MAIL ADVERTISEMENT,2022-05-16T00:00:00Z,29400,S,"CUELLAR, HENRY",H,NA
MIJENTE PAC,2022,PROTRAVEL INTERNATIONAL,AZ,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-22T00:00:00Z,18.5,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,"GENIS, ARIANNA",NC,NON-CONTRIBUTION ACCOUNT: PER DIEM,2022-02-25T00:00:00Z,105.14,S,"CISNEROS, JESSICA",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,OURSO BEYCHOK INC,LA,DIRECT MAIL,2022-05-11T00:00:00Z,42990,O,"CISNEROS, JESSICA",H,NA
J STREET,2022,MIDDLE SEAT CONSULTING LLC,DC,NA,2022-02-13T00:00:00Z,50000,O,"CUELLAR, HENRY",H,DEM
WFP NATIONAL PAC,2022,FACEBOOK,CA,DIGITAL ADS,2022-05-04T00:00:00Z,10000,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,LYFT,CA,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-25T00:00:00Z,13.8,S,"CISNEROS, JESSICA",H,DEM
WOMEN VOTE!,2022,POTOMAC WAVES LLC,DC,TV MEDIA PRODUCTION,2022-05-19T00:00:00Z,1766.3,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-07T00:00:00Z,997.11,S,"CISNEROS, JESSICA",H,DEM
AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES AFL-CIO,2022,AFSCME INTERNATIONAL,DC,NA,2022-04-21T00:00:00Z,11200,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,UNITED AIRLINES,IL,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-22T00:00:00Z,290.09,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,PROTRAVEL INTERNATIONAL,AZ,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-22T00:00:00Z,37,S,"CISNEROS, JESSICA",H,DEM
TEXAS ORGANIZING PROJECT POLITICAL ACTION COMMITTEE,2022,"PRESTIGE PRINTING, LLC",TX,PRINTING (ESTIMATE),2022-02-01T00:00:00Z,1500,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,LYFT,CA,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-25T00:00:00Z,12.75,S,"CISNEROS, JESSICA",H,DEM
AMERICA UNITED,2022,MOSAIC MEDIA STRATEGY GROUP,DC,DIGITAL PRODUCTION,2022-05-19T00:00:00Z,7500,S,"CUELLAR, HENRY",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,ESTIMATED EXPENSES FOR PHONE BANKING (2/2 THROUGH 2/8),2022-02-02T00:00:00Z,20418.16,S,"CISNEROS, JESSICA",H,DEM
TEXANS FOR FREEDOM,2022,REMINGTON RESEARCH GROUP,MO,TEXT MESSAGING,2022-02-25T00:00:00Z,1917.12,S,"GARCIA, CASSY",H,REP
MIJENTE PAC,2022,ENTERPRISE RENT-A-CAR,MO,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-25T00:00:00Z,520.32,S,"CISNEROS, JESSICA",H,DEM
"NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE",2022,A-D STRATEGIES LLC,VA,ONLINE DIGITAL AD BUY & PRODUCTION COSTS,2022-05-03T00:00:00Z,2200,S,"CUELLAR, HENRY",H,DEM
JUSTICE DEMOCRATS PAC,2022,TOP MARKS MEDIA LLC,DC,NON-CONTRIBUTION ACCOUNT - PRODUCTION COSTS,2022-05-02T00:00:00Z,16000,S,"CISNEROS, JESSICA",H,DEM
END CITIZENS UNITED,2022,"POTOMAC WAVES, LLC",DC,MEDIA BUY,2022-05-11T00:00:00Z,37500,S,"CISNEROS, JESSICA",H,DEM
TEXANS FOR TRUE CONSERVATIVES,2022,POLITICAL MEDIA GROUP,VA,DIRECT MAIL,2022-02-02T00:00:00Z,935.07,S,"WHITTEN, SANDRA",H,REP
MIJENTE PAC,2022,LAREDO HOTEL,TX,HOTEL,2022-02-17T00:00:00Z,2439.6,S,"CISNEROS, JESSICA",H,DEM
WFP NATIONAL PAC,2022,SUN DIGITAL,AZ,TEXTING,2022-02-15T00:00:00Z,2500,S,"CISNEROS, JESSICA",H,DEM
AMERICA UNITED,2022,MOSAIC MEDIA STRATEGY GROUP,DC,AD BUY- DIGITAL,2022-05-19T00:00:00Z,28134,S,"CUELLAR, HENRY",H,DEM
"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,AMERICANS FOR PROSPERITY,VA,CANVASSING,2022-06-01T00:00:00Z,18512.71,S,"FLORES, MAYRA",H,REP
A STRONGER TEXAS FUND,2022,ALPHA GRAPHICS LAREDO,TX,SANDRA WHITTEN SIGNS,2022-01-13T00:00:00Z,4625,S,"WHITTEN, SANDRA",H,NA
CONGRESSIONAL LEADERSHIP FUND,2022,RUMBLEUP LLC,DC,TEXT MESSAGES,2022-02-18T00:00:00Z,7000,S,"DE LA CRUZ, MONICA",H,NA
WFP NATIONAL PAC,2022,COMMUNITY LABOR ADMINISTRATIVE SERVICES,NY,TEXTING,2022-01-11T00:00:00Z,660,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,UNITED AIRLINES,IL,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-24T00:00:00Z,688.94,S,"CISNEROS, JESSICA",H,DEM
"GREENPEACE, INC.",2022,ARIZONA JET-MAIL SERVICES,AZ,NA,2022-04-06T00:00:00Z,1286.7,S,"CISNEROS, JESSICA",H,DEM
"GREENPEACE, INC.",2022,ARIZONA JET-MAIL SERVICES,AZ,NA,2022-05-04T00:00:00Z,4445.33,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-07T00:00:00Z,997.11,S,"CISNEROS, JESSICA",H,DEM
WOMEN VOTE!,2022,WATERFRONT STRATEGIES,DC,TV MEDIA BUY,2022-05-12T00:00:00Z,459094.5,O,"CUELLAR, HENRY",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,ESTIMATED EXPENSES FOR CANVASSING,2022-01-31T00:00:00Z,3344.38,S,"CISNEROS, JESSICA",H,DEM
CONGRESSIONAL LEADERSHIP FUND,2022,ONMESSAGE INC.,VA,MEDIA PRODUCTION,2022-05-31T00:00:00Z,13000,S,"FLORES, MAYRA",H,NA
MIJENTE PAC,2022,CONSOLIDATED PRESS,NC,NON-CONTRIBUTION ACCOUNT: GOTV LITERATURE,2022-02-11T00:00:00Z,750.75,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-29T00:00:00Z,8006.51,S,"CISNEROS, JESSICA",H,DEM
WFP NATIONAL PAC,2022,LUPE VOTES,TX,IN PERSON CANVASSING,2022-05-22T00:00:00Z,10000,S,"VALLEJO, MICHELLE",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,WATERFRONT STRATEGIES INC,DC,MEDIA PLACEMENT,2022-05-10T00:00:00Z,315125.5,O,"CISNEROS, JESSICA",H,NA
"GREENPEACE, INC.",2022,ARIZONA JET-MAIL SERVICES,AZ,NA,2022-04-19T00:00:00Z,932.5,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-07T00:00:00Z,997.12,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-16T00:00:00Z,8006.49,S,"CISNEROS, JESSICA",H,DEM
WFP NATIONAL PAC,2022,TURN IT BLUE,CO,DIGITAL ADS,2022-02-10T00:00:00Z,10000,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,AMERICAN AIRLINES,TX,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-10T00:00:00Z,539.13,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,AMERICAN AIRLINES,TX,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-22T00:00:00Z,584.2,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,RIALTO HOTEL LLC,TX,NON-CONTRIBUTION ACCOUNT: HOTEL,2022-02-10T00:00:00Z,2599.2,S,"CISNEROS, JESSICA",H,DEM
INDIVISIBLE ACTION,2022,THE BASELINE AGENCY,DC,DIRECT MAIL,2022-02-17T00:00:00Z,36034.16,O,"CUELLAR, HENRY",H,NA
INDIVISIBLE ACTION,2022,KNOCKCO LLC,NY,TEXT MESSAGES (ESTIMATE),2022-02-24T00:00:00Z,1856,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR CANVASSING- YARD SIGNS,2022-01-28T00:00:00Z,7339,S,"CISNEROS, JESSICA",H,DEM
IN UNION USA,2022,"DELIVER STRATEGIES, LLC",VA,DIRECT MAIL PROGRAM,2022-02-22T00:00:00Z,29629.72,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-07T00:00:00Z,997.11,S,"CISNEROS, JESSICA",H,DEM
FREEDOMWORKS FOR AMERICA,2022,SEPTEMBER GROUP LLC,WY,DIGITAL ADVERTISING,2022-06-06T00:00:00Z,22000,S,"FLORES, MAYRA",H,REP
MOVEON.ORG POLITICAL ACTION,2022,"UPLAND SOFTWARE, INC.",TX,TEXTING SERVICES,2022-05-12T00:00:00Z,1709.43,S,"CISNEROS, JESSICA",H,DEM
"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,IN PURSUIT OF LLC,VA,LIBRE DIGITAL AD PLACEMENT,2022-07-14T00:00:00Z,15000,S,"FLORES, MAYRA",H,REP
STARS AND STRIPES FOREVER PAC,2022,ELECTION IMPACT GROUP LLC,MS,MEDIA PRODUCTION/PLACEMENT,2022-05-05T00:00:00Z,9400,S,"GARCIA, CASSY",H,REP
CONGRESSIONAL LEADERSHIP FUND,2022,TARGETED VICTORY LLC,VA,DIGITAL PLACEMENT,2022-07-27T00:00:00Z,107000,S,"FLORES, MAYRA",H,NA
DMFI PAC,2022,MEDIA FORTITUDE PARTNERS,NJ,T.V. ADVERTISING PRODUCTION,2022-05-03T00:00:00Z,15000,S,"RAMIREZ, RUBEN",H,DEM
MAINSTREAM DEMOCRATS PAC,2022,"SAGE MEDIA PLANNING & PLACEMENT, INC.",DC,T.V. ADVERTISING BUY,2022-05-10T00:00:00Z,479733.35,S,"CUELLAR, HENRY",H,DEM
INDIVISIBLE ACTION,2022,CIVITECH,NY,TEXT MESSAGES (ESTIMATE),2022-05-19T00:00:00Z,1830,S,"CISNEROS, JESSICA",H,DEM
AMERICA UNITED,2022,MOSAIC MEDIA STRATEGY GROUP,DC,DIGITAL PRODUCTION,2022-05-19T00:00:00Z,3000,S,"CUELLAR, HENRY",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,BRUSHFIRE LLC,DC,GOTV PHONE CALLS,2022-05-09T00:00:00Z,17119.6,S,"CUELLAR, HENRY",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-07T00:00:00Z,999.62,S,"CISNEROS, JESSICA",H,DEM
INDIVISIBLE ACTION,2022,TOP MARKS MEDIA LLC,DC,DIGITAL ADVERTISING (ESTIMATE),2022-05-12T00:00:00Z,10000,S,"CISNEROS, JESSICA",H,DEM
FREEDOMWORKS FOR AMERICA,2022,SEPTEMBER GROUP LLC,WY,DIRECT MAIL,2022-05-27T00:00:00Z,50000,S,"FLORES, MAYRA",H,REP
