committee_name,report_year,payee_name,payee_state,expenditure_description,expenditure_date,expenditure_amount,support_oppose_indicator,candidate_name,candidate_office,candidate_party
"NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE",2022,MEATH MEDIA GROUP,DC,ONLINE VIDEO PRODUCTION COSTS,2022-05-03T00:00:00Z,37250,S,"CUELLAR, HENRY",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-07T00:00:00Z,1003.78,S,"CISNEROS, JESSICA",H,DEM
VOTE NURSES VALUES POLITICAL ACTION COMMITTEE: CALIFORNIA NURSES ASSOCIATION,2022,CACAOROCK/JAVIER MORENO POLLAROLO,CA,TRANSLATION SERVICES,2022-04-19T00:00:00Z,30,S,"CISNEROS, JESSICA",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,BRUSHFIRE LLC,DC,GOTV PHONE CALLS,2022-05-16T00:00:00Z,3685.59,O,"CISNEROS, JESSICA",H,NA
AMERICA UNITED,2022,MOSAIC MEDIA STRATEGY GROUP,DC,AD BUY- DIGITAL,2022-05-19T00:00:00Z,28134,S,"CUELLAR, HENRY",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-22T00:00:00Z,8006.49,S,"CISNEROS, JESSICA",H,DEM
A STRONGER TEXAS FUND,2022,"AARON, THOMAS, AND ASSOCIATES",CA,SANDRA WHITTEN MAILR,2022-02-02T00:00:00Z,19757.13,S,"WHITTEN, SANDRA",H,NA
AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES AFL-CIO,2022,AFSCME INTERNATIONAL,DC,NA,2022-04-21T00:00:00Z,2800,O,"CUELLAR, HENRY",H,DEM
MIJENTE PAC,2022,LYFT,CA,TRAVEL,2022-02-17T00:00:00Z,17.99,S,"CISNEROS, JESSICA",H,DEM
SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),2022,TEXAS TOOLBELT,TX,ESTIMATED COST - CANVASSING SERVICES,2022-02-16T00:00:00Z,15000,O,"CUELLAR, HENRY",H,DEM
INDIVISIBLE ACTION,2022,TOP MARKS MEDIA LLC,DC,DIGITAL ADVERTISING (ESTIMATE),2022-05-12T00:00:00Z,10000,O,"CUELLAR, HENRY",H,NA
MIJENTE PAC,2022,PROTRAVEL INTERNATIONAL,AZ,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-24T00:00:00Z,37,S,"CISNEROS, JESSICA",H,DEM
WFP NATIONAL PAC,2022,MIDDLE SEAT,DC,DIGITAL ADS,2022-05-22T00:00:00Z,5000,S,"VALLEJO, MICHELLE",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,MVAR MEDIA LLC,VA,MEDIA PRODUCTION,2022-05-12T00:00:00Z,10163.84,O,"CISNEROS, JESSICA",H,NA
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR PHONE BANKING,2022-01-26T00:00:00Z,2993.9,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,PROTRAVEL INTERNATIONAL,AZ,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-22T00:00:00Z,18.5,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,ESTIMATED EXPENSES FOR CANVASSING,2022-02-01T00:00:00Z,3344.38,S,"CISNEROS, JESSICA",H,DEM
CONGRESSIONAL LEADERSHIP FUND,2022,TARGETED VICTORY LLC,VA,DIGITAL PLACEMENT,2022-02-25T00:00:00Z,5000,S,"DE LA CRUZ, MONICA",H,NA
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,ESTIMATED EXPENSES FOR PHONE BANKING,2022-01-31T00:00:00Z,2916.88,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,ESTIMATED EXPENSES FOR PHONE BANKING,2022-02-01T00:00:00Z,2916.88,S,"CISNEROS, JESSICA",H,DEM
TEXAS ORGANIZING PROJECT POLITICAL ACTION COMMITTEE,2022,"PRESTIGE PRINTING, LLC",TX,LITERATURE (ESTIMATE),2022-04-19T00:00:00Z,1383.72,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,LOLITAS BISTRO,TX,NON-CONTRIBUTION ACCOUNT: MEALS,2022-02-25T00:00:00Z,246.13,S,"CISNEROS, JESSICA",H,DEM
CONGRESSIONAL LEADERSHIP FUND,2022,TARGETED VICTORY LLC,VA,DIGITAL PLACEMENT,2022-08-05T00:00:00Z,100000,S,"FLORES, MAYRA",H,NA
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR PHONE BANKING,2022-01-29T00:00:00Z,3694.74,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,76 WORDS CORP.,DC,RADIO ADVERTISING,2022-04-18T00:00:00Z,100000,O,"CUELLAR, HENRY",H,DEM
AMERICA UNITED,2022,MOSAIC MEDIA STRATEGY GROUP,DC,AD BUY- DIGITAL,2022-04-29T00:00:00Z,22512,S,"CUELLAR, HENRY",H,DEM
WOMEN VOTE!,2022,THE PIVOT GROUP,DC,MAIHOUSE,2022-05-12T00:00:00Z,8907.22,O,"CUELLAR, HENRY",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,MVAR MEDIA LLC,VA,MEDIA PRODUCTION/PLACEMENT,2022-05-10T00:00:00Z,73375,O,"CISNEROS, JESSICA",H,NA
MIJENTE PAC,2022,UNITED AIRLINES,IL,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-25T00:00:00Z,599.71,S,"CISNEROS, JESSICA",H,DEM
TEXAS ORGANIZING PROJECT POLITICAL ACTION COMMITTEE,2022,TEXAS ORGANIZING PROJECT,TX,STAFF TIME (ESTIMATE),2022-04-11T00:00:00Z,1116.28,S,"CISNEROS, JESSICA",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,MVAR MEDIA LLC,VA,MEDIA PRODUCTION,2022-05-20T00:00:00Z,2235,S,"CUELLAR, HENRY",H,DEM
WOMEN VOTE!,2022,TRILOGY INTERACTIVE LLC,CA,DIGITAL BUY,2022-04-29T00:00:00Z,54000,S,"CISNEROS, JESSICA",H,DEM
WFP NATIONAL PAC,2022,COMMUNITY LABOR ADMINISTRATIVE SERVICES,NY,PHONE CALLS,2022-02-17T00:00:00Z,65.38,S,"CISNEROS, JESSICA",H,DEM
VOTE NURSES VALUES POLITICAL ACTION COMMITTEE: CALIFORNIA NURSES ASSOCIATION,2022,AUTUMN PRESS,CA,POSTCARD MAILER,2022-04-29T00:00:00Z,5036.47,S,"CISNEROS, JESSICA",H,DEM
AMERICA UNITED,2022,MOSAIC MEDIA STRATEGY GROUP,DC,AD BUY- RADIO,2022-05-21T00:00:00Z,67500,S,"CUELLAR, HENRY",H,DEM
WFP NATIONAL PAC,2022,THE BASELINE AGENCY,DC,MAIL,2022-02-18T00:00:00Z,36035.76,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,UNITED AIRLINES,IL,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-24T00:00:00Z,688.94,S,"CISNEROS, JESSICA",H,DEM
TEXAS ORGANIZING PROJECT POLITICAL ACTION COMMITTEE,2022,HUMAN AGE DIGITAL,TX,DIGITAL ADS (ESTIMATE),2022-02-01T00:00:00Z,1000,S,"CISNEROS, JESSICA",H,DEM
CONGRESSIONAL LEADERSHIP FUND,2022,936 MEDIA,SC,MEDIA PRODUCTION,2022-02-22T00:00:00Z,1000,O,"GARZA, MAURO",H,NA
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-07T00:00:00Z,997.11,S,"CISNEROS, JESSICA",H,DEM
INDIVISIBLE ACTION,2021,BLUE STATE DIGITAL,NY,DIGITAL ADVERTISING - ESTIMATE,2021-11-23T00:00:00Z,10000,O,"CUELLAR, HENRY",H,NA
CONGRESSIONAL LEADERSHIP FUND,2022,TARGETED VICTORY LLC,VA,DIGITAL PLACEMENT,2022-02-10T00:00:00Z,25000,S,"DE LA CRUZ, MONICA",H,NA
WFP NATIONAL PAC,2022,COMMUNITY LABOR ADMINISTRATIVE SERVICES,NY,PHONE CALLS,2022-01-14T00:00:00Z,300,S,"CISNEROS, JESSICA",H,DEM
IN UNION USA,2022,"DELIVER STRATEGIES, LLC",DC,DIRECT MAIL PROGRAM,2022-02-14T00:00:00Z,33459.54,S,"CISNEROS, JESSICA",H,DEM
FREEDOMWORKS FOR AMERICA,2022,RUMBLE UP,DC,PEER-TO-PEER TEXT MESSAGING,2022-06-02T00:00:00Z,8171.42,S,"FLORES, MAYRA",H,REP
UNITED DEMOCRACY PROJECT (UDP),2022,MVAR MEDIA LLC,VA,MEDIA PRODUCTION/PLACEMENT,2022-05-17T00:00:00Z,7961.74,S,"CUELLAR, HENRY",H,DEM
WFP NATIONAL PAC,2022,COMMUNITY LABOR ADMINISTRATIVE SERVICES,NY,PHONE CALLS,2022-05-12T00:00:00Z,364.4,S,"CISNEROS, JESSICA",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,WATERFRONT STRATEGIES INC,DC,MEDIA PLACEMENT,2022-05-17T00:00:00Z,214065.5,S,"CUELLAR, HENRY",H,DEM
WFP NATIONAL PAC,2022,COMMUNITY LABOR ADMINISTRATIVE SERVICES,NY,PHONE CALLS,2022-05-22T00:00:00Z,663.32,S,"CISNEROS, JESSICA",H,DEM
CHARTER SCHOOLS NOW PAC,2022,CARR MARKETING INC.,CA,NA,2022-05-19T00:00:00Z,520.65,S,"CUELLAR, HENRY",H,DEM
JUSTICE DEMOCRATS PAC,2022,TOP MARKS MEDIA LLC,DC,NON-CONTRIBUTION ACCOUNT - MEDIA PRODUCTION,2022-02-09T00:00:00Z,12000,O,"CUELLAR, HENRY",H,DEM
MIJENTE PAC,2022,PROTRAVEL INTERNATIONAL,AZ,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-24T00:00:00Z,37,S,"CISNEROS, JESSICA",H,DEM
"NATIONAL VICTORY ACTION FUND",2022,DIGITAL MARKETING SOLUTIONS GROUP LLC,VA,NON-CONTRIBUTION ACCT: ONLINE ADVERTISING / EMAIL COMMUNICATION / SMS MESSAGES,2022-06-15T00:00:00Z,25000,S,"FLORES, MAYRA",H,REP
MIJENTE PAC,2022,UNITED AIRLINES,IL,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-24T00:00:00Z,688.94,S,"CISNEROS, JESSICA",H,DEM
WFP NATIONAL PAC,2022,TURN IT BLUE DIGITAL,CO,DIGITAL ADS,2022-02-03T00:00:00Z,10000,S,"CISNEROS, JESSICA",H,DEM
CONGRESSIONAL LEADERSHIP FUND,2022,TARGETED VICTORY LLC,VA,DIGITAL PLACEMENT,2022-08-19T00:00:00Z,100000,S,"GARCIA, CASSY",H,NA
DMFI PAC,2022,"SISNEROS STRATEGIES, LLC",VA,DIRECT MAIL ADVERTISING,2022-05-02T00:00:00Z,117291.58,S,"RAMIREZ, RUBEN",H,DEM
TEXANS FOR FREEDOM,2022,ARMADA STRATEGIES,FL,DIGITAL MEDIA PLACEMENT,2022-02-24T00:00:00Z,35000,S,"GARCIA, CASSY",H,REP
CONGRESSIONAL LEADERSHIP FUND,2022,TARGETED VICTORY LLC,VA,DIGITAL PLACEMENT,2022-07-30T00:00:00Z,50000,S,"FLORES, MAYRA",H,NA
WFP NATIONAL PAC,2022,THE BASELINE AGENCY,DC,MAIL,2022-04-30T00:00:00Z,116000,S,"CISNEROS, JESSICA",H,DEM
"OPPORTUNITY MATTERS FUND, INC.",2022,FLEXPOINT MEDIA INC,OH,PLACED MEDIA: TV,2022-08-03T00:00:00Z,150000,S,"DE LA CRUZ, MONICA",H,REP
CONGRESSIONAL LEADERSHIP FUND,2022,TARGETED VICTORY LLC,VA,DIGITAL PLACEMENT,2022-03-31T00:00:00Z,50000,S,"GARCIA, CASSY",H,NA
WFP NATIONAL PAC,2021,BASE BUILDER,NY,PHONE CALLS,2021-12-09T00:00:00Z,11000,S,"CISNEROS, JESSICA",H,NA
WFP NATIONAL PAC,2022,COMMUNITY LABOR ADMINISTRATIVE SERVICES,NY,TEXTING,2022-05-22T00:00:00Z,825,S,"VALLEJO, MICHELLE",H,DEM
MAINSTREAM DEMOCRATS PAC,2022,"SAGE MEDIA PLANNING & PLACEMENT, INC.",DC,T.V. ADVERTISING PRODUCTION,2022-05-10T00:00:00Z,30000,S,"CUELLAR, HENRY",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-07T00:00:00Z,1003.78,S,"CISNEROS, JESSICA",H,DEM
"OPPORTUNITY MATTERS FUND, INC.",2022,"MOUNTAINTOP ADVISORS, LLC",DC,PRODUCTION COST: TV AD,2022-08-03T00:00:00Z,1666.66,S,"DE LA CRUZ, MONICA",H,REP
JUSTICE DEMOCRATS PAC,2022,THE BASELINE AGENCY,DC,NON-CONTRIBUTION ACCOUNT - DIRECT MAIL SERVICE,2022-02-18T00:00:00Z,18018.03,S,"CISNEROS, JESSICA",H,DEM
"GREENPEACE, INC.",2022,"GREENPEACE, INC.",DC,NA,2022-04-01T00:00:00Z,346.2,S,"CISNEROS, JESSICA",H,DEM
WFP NATIONAL PAC,2022,MEDIA FORTITUDE PARTNERS,NJ,RADIO ADS,2022-04-27T00:00:00Z,50000,S,"CISNEROS, JESSICA",H,DEM
JUSTICE DEMOCRATS PAC,2022,TOP MARKS MEDIA LLC,DC,"NON-CONTRIBUTION ACCOUNT - MEDIA BUY, TV/DIGITAL",2022-02-15T00:00:00Z,75000,O,"CUELLAR, HENRY",H,DEM
AFL-CIO COMMITTEE ON POLITICAL EDUCATION TREASURY FUND,2022,MIDDLE SEAT,DC,NA,2022-05-05T00:00:00Z,276.23,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,PROTRAVEL INTERNATIONAL,AZ,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-22T00:00:00Z,18.5,S,"CISNEROS, JESSICA",H,DEM
JUSTICE DEMOCRATS PAC,2022,THE BASELINE AGENCY,DC,NON-CONTRIBUTION ACCOUNT - DIRECT MAIL SERVICE,2022-02-11T00:00:00Z,38294.17,S,"CISNEROS, JESSICA",H,DEM
CONGRESSIONAL LEADERSHIP FUND,2022,936 MEDIA,SC,MEDIA PRODUCTION,2022-02-17T00:00:00Z,1000,S,"DE LA CRUZ, MONICA",H,NA
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-07T00:00:00Z,997.11,S,"CISNEROS, JESSICA",H,DEM
JUSTICE DEMOCRATS PAC,2022,TOP MARKS MEDIA LLC,DC,NON-CONTRIBUTION ACCOUNT - MEDIA TV BUY,2022-02-25T00:00:00Z,10000,O,"CUELLAR, HENRY",H,DEM
JUSTICE DEMOCRATS PAC,2022,THE BASELINE AGENCY,DC,NON-CONTRIBUTION ACCOUNT - DIRECT MAIL SERVICE,2022-02-08T00:00:00Z,37513.01,S,"CISNEROS, JESSICA",H,DEM
ELBERT GUILLORY'S AMERICA,2022,LONGSHOT MOTION PICTURES,TX,MEDIA PRODUCTION,2022-02-16T00:00:00Z,3000,S,"DE LA CRUZ, MONICA",H,REP
CHARTER SCHOOLS ACTION FUND,2022,SISNEROS STRATEGIES,VA,NA,2022-05-16T00:00:00Z,25800.23,S,"CUELLAR, HENRY",H,DEM
DMFI PAC,2022,"TRILOGY INTERACTIVE, LLC",CA,DIGITAL ADVERTISING BUY,2022-05-04T00:00:00Z,64751,S,"RAMIREZ, RUBEN",H,DEM
A STRONGER TEXAS FUND,2022,NEW FRONTIER GRAPHICS AND ILLUSTRATION,TX,WEBSITE DEPOSIT,2022-02-04T00:00:00Z,650,S,"WHITTEN, SANDRA",H,NA
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,BERLIN ROSEN LTD,NY,DIGITAL ADVERTISING,2022-02-25T00:00:00Z,10000,O,"CUELLAR, HENRY",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-23T00:00:00Z,8006.5,S,"CISNEROS, JESSICA",H,DEM
"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,AMERICANS FOR PROSPERITY,VA,CANVASSING,2022-07-20T00:00:00Z,100,S,"FLORES, MAYRA",H,REP
AMERICA UNITED,2022,MOSAIC MEDIA STRATEGY GROUP,DC,AD PRODUCTION,2022-05-21T00:00:00Z,2500,S,"CUELLAR, HENRY",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-21T00:00:00Z,8006.51,S,"CISNEROS, JESSICA",H,DEM
AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES AFL-CIO,2022,AFSCME INTERNATIONAL,DC,NA,2022-05-18T00:00:00Z,3200,S,"CISNEROS, JESSICA",H,DEM
JUSTICE DEMOCRATS PAC,2022,TOP MARKS MEDIA LLC,DC,NON-CONTRIBUTION ACCOUNT - DIGITAL BUY,2022-05-10T00:00:00Z,35000,S,"CISNEROS, JESSICA",H,DEM
LUPE VOTES,2022,WILDFIRE MAIL,MA,NA,2022-05-10T00:00:00Z,8575.2,S,"CISNEROS, JESSICA",H,NA
CONGRESSIONAL LEADERSHIP FUND,2022,TARGETED VICTORY LLC,VA,DIGITAL PLACEMENT,2022-02-22T00:00:00Z,25000,S,"DE LA CRUZ, MONICA",H,NA
MIJENTE PAC,2022,PROTRAVEL INTERNATIONAL,AZ,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-22T00:00:00Z,37,S,"CISNEROS, JESSICA",H,DEM
JUSTICE DEMOCRATS PAC,2022,THE BASELINE AGENCY,DC,NON-CONTRIBUTION ACCOUNT - DIRECT MAIL SERVICE,2022-02-15T00:00:00Z,36036.06,S,"CISNEROS, JESSICA",H,DEM
BIG RIVER MEDIA,2022,BIG RIVER MEDIA,TX,NA,2022-05-13T00:00:00Z,5263.75,S,"CUELLAR, HENRY",H,NA
INDIVISIBLE ACTION,2022,KNOCKCO LLC,NY,TEXT MESSAGES (ESTIMATE),2022-02-16T00:00:00Z,1581.6,S,"CISNEROS, JESSICA",H,DEM
CONGRESSIONAL LEADERSHIP FUND,2022,TARGETED VICTORY LLC,VA,DIGITAL PLACEMENT,2022-08-19T00:00:00Z,100000,S,"FLORES, MAYRA",H,NA
BIENVENIDO ACTION PAC,2022,"I360, LLC",IL,DIGITAL VOTER CONTACT,2022-06-07T00:00:00Z,315.95,S,"FLORES, MAYRA",H,REP
MIJENTE PAC,2022,CONSOLIDATED PRESS,NC,NON-CONTRIBUTION ACCOUNT: GOTV LITERATURE,2022-02-10T00:00:00Z,750.75,S,"CISNEROS, JESSICA",H,DEM
"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,TARGETED VICTORY LLC,VA,MEDIA PRODUCTION,2022-08-15T00:00:00Z,1000,S,"FLORES, MAYRA",H,REP
WFP NATIONAL PAC,2022,COMMUNITY LABOR ADMINISTRATIVE SERVICES,NY,PHONE CALLS,2022-05-15T00:00:00Z,172.92,S,"CISNEROS, JESSICA",H,DEM
TEXAS ORGANIZING PROJECT POLITICAL ACTION COMMITTEE,2022,"PRESTIGE PRINTING, LLC",TX,MAIL,2022-02-27T00:00:00Z,450.89,S,"CISNEROS, JESSICA",H,DEM
JUSTICE DEMOCRATS PAC,2022,TOP MARKS MEDIA LLC,DC,NON-CONTRIBUTION ACCOUNT - MEDIA TV BUY,2022-02-22T00:00:00Z,100000,O,"CUELLAR, HENRY",H,DEM
"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,TALENTWAVE INC.,CO,CANVASSING,2022-08-01T00:00:00Z,500,S,"FLORES, MAYRA",H,REP
TEXAS ORGANIZING PROJECT POLITICAL ACTION COMMITTEE,2022,TEXAS ORGANIZING PROJECT,TX,STAFF TIME (ESTIMATE),2022-04-19T00:00:00Z,4883.72,S,"CISNEROS, JESSICA",H,DEM
CONGRESSIONAL LEADERSHIP FUND,2022,TARGETED VICTORY LLC,VA,DIGITAL PLACEMENT,2022-06-15T00:00:00Z,25000,S,"FLORES, MAYRA",H,NA
A STRONGER TEXAS FUND,2022,NEW FRONTIER GRAPHICS AND ILLUSTRATION,TX,WEBSITE,2022-02-18T00:00:00Z,350,S,"WHITTEN, SANDRA",H,NA
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-26T00:00:00Z,12179.56,S,"CISNEROS, JESSICA",H,DEM
CONGRESSIONAL LEADERSHIP FUND,2022,936 MEDIA,SC,MEDIA PRODUCTION,2022-02-17T00:00:00Z,1000,O,"GARZA, MAURO",H,NA
AFL-CIO COMMITTEE ON POLITICAL EDUCATION TREASURY FUND,2022,MIDDLE SEAT,DC,NA,2022-05-07T00:00:00Z,238.33,S,"CISNEROS, JESSICA",H,DEM
WFP NATIONAL PAC,2022,THE SEXTON GROUP,IL,ROBOCALL,2022-02-28T00:00:00Z,1840.16,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,UBER EATS,CA,NON-CONTRIBUTION ACCOUNT: MEALS,2022-02-25T00:00:00Z,254.9,S,"CISNEROS, JESSICA",H,DEM
HOUSE MAJORITY PAC,2022,WATERFRONT STRATEGIES,DC,TELEVISION ADVERTISING - ESTIMATE,2022-06-07T00:00:00Z,105188,O,"FLORES, MAYRA",H,REP
MIJENTE PAC,2022,UNITED AIRLINES,IL,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-24T00:00:00Z,688.94,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,LYFT,CA,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-25T00:00:00Z,41.32,S,"CISNEROS, JESSICA",H,DEM
TEXAS ORGANIZING PROJECT POLITICAL ACTION COMMITTEE,2022,"PRESTIGE PRINTING, LLC",TX,MAIL (ESTIMATE),2022-02-01T00:00:00Z,2500,S,"CISNEROS, JESSICA",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,WATERFRONT STRATEGIES INC,DC,MEDIA PLACEMENT,2022-05-19T00:00:00Z,32725,S,"CUELLAR, HENRY",H,DEM
"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,IN PURSUIT OF LLC,VA,LIBRE DIGITAL AD PLACEMENT,2022-07-13T00:00:00Z,17000,S,"DE LA CRUZ, MONICA",H,REP
DMFI PAC,2022,"TRILOGY INTERACTIVE, LLC",CA,DIGITAL ADVERTISING PRODUCTION,2022-05-04T00:00:00Z,10000,S,"RAMIREZ, RUBEN",H,DEM
"NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE",2022,AMBROSINO MUIR HANSEN CROUNSE,MD,ONLINE DIGITAL ADS & GIFS,2022-05-03T00:00:00Z,1800,S,"CUELLAR, HENRY",H,DEM
WOMEN VOTE!,2022,THE PIVOT GROUP,DC,MAIHOUSE,2022-05-12T00:00:00Z,9361.67,S,"CISNEROS, JESSICA",H,DEM
CONGRESSIONAL LEADERSHIP FUND,2022,FLEXPOINT MEDIA INC.,OH,DIGITAL PLACEMENT,2022-02-19T00:00:00Z,3000,S,"DE LA CRUZ, MONICA",H,NA
UNITED DEMOCRACY PROJECT (UDP),2022,MVAR MEDIA LLC,VA,MEDIA PRODUCTION,2022-05-12T00:00:00Z,19866.27,S,"CUELLAR, HENRY",H,DEM
FREEDOMWORKS FOR AMERICA,2022,SEPTEMBER GROUP LLC,WY,DIGITAL ADVERTISING,2022-05-27T00:00:00Z,40000,S,"FLORES, MAYRA",H,REP
LCV VICTORY FUND,2022,POTOMAC WAVES LLC,DC,RADIO AD PRODUCTION,2022-05-03T00:00:00Z,2381.2,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,LYFT,CA,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-25T00:00:00Z,8.64,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,USPS,DC,NON-CONTRIBUTION ACCOUNT: POSTAGE,2022-02-11T00:00:00Z,11.85,S,"CISNEROS, JESSICA",H,DEM
WFP NATIONAL PAC,2021,COMMUNITY LABOR ADMINISTRATIVE SERVICES,NY,TEXTING,2021-12-26T00:00:00Z,2667.76,S,"CISNEROS, JESSICA",H,DEM
